id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
J,226.2619047619048,8,30,0,0.0,0.0,-50428.12202380945,-10872962.23414732
A,228.65000000000003,0,12,0,0.0,0.0,0.0,-10872962.23414732
B,228.65000000000003,0,12,-2,0.0,0.0,-9026.230952380942,-10881988.4650997
C,228.65000000000003,0,12,-5,0.0,0.0,-31591.808333333294,-10913580.273433033
D,228.65000000000003,6,7,0,0.0,0.0,-31591.808333333294,-10945172.081766367
E,228.65000000000003,6,7,0,0.0,0.0,-31591.808333333294,-10976763.8900997
F,228.65000000000003,1,10,-1,0.0,4.125,-36104.92380952377,-11012868.813909225
G,228.65000000000003,1,10,-2,0.0,0.0,-45131.15476190471,-11057999.96867113
H,228.65000000000003,4,12,-1,0.0,0.0,-49644.27023809518,-11107644.238909226
I,228.65000000000003,4,12,0,0.0,0.0,-49644.27023809518,-11157288.509147322
J,228.65000000000003,8,30,0,0.0,0.0,-49644.27023809518,-11206932.779385418
A,230.91666666666686,0,12,0,0.0,0.0,0.0,-11206932.779385418
B,230.91666666666686,0,12,-2,0.0,0.0,-8012.808333333324,-11214945.587718751
C,230.91666666666686,0,12,-6,0.0,0.0,-32051.233333333297,-11246996.821052084
D,230.91666666666686,6,7,0,0.0,0.0,-32051.233333333297,-11279048.054385416
E,230.91666666666686,6,7,0,0.0,0.0,-32051.233333333297,-11311099.287718749
F,230.91666666666686,1,10,-1,0.0,4.125,-36057.63749999996,-11347156.925218748
G,230.91666666666686,1,10,-2,0.0,0.0,-44070.44583333328,-11391227.37105208
H,230.91666666666686,4,12,-1,0.0,0.0,-48076.84999999995,-11439304.22105208
I,230.91666666666686,4,12,0,0.0,0.0,-48076.84999999995,-11487381.07105208
J,230.91666666666686,8,30,0,0.0,0.0,-48076.84999999995,-11535457.92105208
A,231.7633928571427,0,12,0,0.0,0.0,0.0,-11535457.92105208
B,231.7633928571427,0,12,-2,0.0,0.0,-6991.52901785705,-11542449.450069936
