[OrderedDict([('H-J', 1)]), '2018-08-15']
[OrderedDict([('D-J', 1)]), '2018-08-15']
[OrderedDict([('J-A', 1)]), '2018-08-29']
[OrderedDict([('G-J', 1)]), '2018-08-29']
[OrderedDict([('J-F', 1), ('C-J', 1)]), '2018-09-21']
[OrderedDict([('J-F', 1)]), '2018-09-29']
[OrderedDict([('C-J', 1)]), '2018-09-29']
[OrderedDict([('C-D', 1)]), '2018-09-29']
[OrderedDict([('C-E', 1)]), '2018-10-05']
[OrderedDict([('J-G', 1)]), '2018-10-14']
[OrderedDict([('C-J', 1)]), '2018-10-14']
[OrderedDict([('J-G', 1)]), '2018-10-20']
[OrderedDict([('C-J', 1)]), '2018-10-20']
[OrderedDict([('C-D', 1)]), '2018-10-21']
[OrderedDict([('J-F', 1)]), '2018-11-02']
[OrderedDict([('C-J', 1)]), '2018-11-02']
[OrderedDict([('J-B', 1)]), '2018-12-10']
[OrderedDict([('A-J', 1)]), '2018-12-10']
[OrderedDict([('B-H', 1)]), '2019-01-19']
[OrderedDict([('A-I', 1)]), '2019-02-15']
[OrderedDict([('A-E', 1)]), '2019-04-16']
[OrderedDict([('A-E', 1)]), '2019-04-23']
[OrderedDict([('B-H', 1)]), '2019-07-05']
[OrderedDict([('J-I', 1)]), '2019-07-21']
[OrderedDict([('B-J', 1)]), '2019-07-21']
[OrderedDict([('B-E', 1)]), '2019-08-03']
[OrderedDict([('A-J', 1)]), '2019-09-10']
[OrderedDict([('J-G', 1)]), '2019-09-15']
[OrderedDict([('B-G', 1)]), '2019-09-15']
[OrderedDict([('C-J', 1)]), '2019-09-15']
[OrderedDict([('J-F', 1)]), '2019-10-03']
[OrderedDict([('A-F', 1)]), '2019-10-03']
[OrderedDict([('B-J', 1)]), '2019-10-03']
[OrderedDict([('J-E', 1)]), '2019-11-05']
[OrderedDict([('F-J', 1)]), '2019-11-15']
[OrderedDict([('G-J', 1)]), '2019-11-26']
[OrderedDict([('F-D', 1)]), '2019-12-03']
[OrderedDict([('G-B', 1)]), '2019-12-21']
[OrderedDict([('G-B', 1)]), '2019-12-21']
[OrderedDict([('F-B', 1)]), '2019-12-21']
[OrderedDict([('G-B', 1)]), '2019-12-21']
