id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
D,211.37499999999986,6,7,3,0.23724489795914191,8.885714285714231,-14871.74107142858,-13504.274914815607
E,211.37499999999986,6,7,3,0.23724489795914191,66.56450216450212,7435.87053571429,-6068.404379101317
F,211.37499999999986,1,10,1,0.0,15.458333333333336,14871.74107142858,8803.336692327262
G,211.37499999999986,1,10,0,0.0,7.333333333333337,14871.74107142858,23675.077763755842
H,211.37499999999986,4,12,2,0.0922619047618885,21.590277777777743,29743.48214285716,53418.559906613
I,211.37499999999986,4,12,2,0.0922619047618885,26.486111111111093,44615.22321428574,98033.78312089873
J,211.37499999999986,8,30,4,0.0738095238095108,25.301216501752194,74358.7053571429,172392.48847804163
A,216.83749999999998,0,12,0,0.0,0.5555555555555558,0.0,172392.48847804163
B,216.83749999999998,0,12,-2,0.0,0.0,-15015.99687500006,157376.49160304156
C,216.83749999999998,0,12,-3,0.0,0.0,-37539.99218750015,119836.49941554142
D,216.83749999999998,6,7,3,2.34107142857148,11.226785714285711,-15015.99687500006,104820.50254054136
E,216.83749999999998,6,7,3,2.34107142857148,68.9055735930736,7507.99843750003,112328.5009780414
F,216.83749999999998,1,10,0,0.0,15.458333333333336,7507.99843750003,119836.49941554143
G,216.83749999999998,1,10,-1,0.0,7.333333333333337,0.0,119836.49941554143
H,216.83749999999998,4,12,2,0.9104166666666864,22.50069444444443,15015.99687500006,134852.4962905415
I,216.83749999999998,4,12,2,0.9104166666666864,27.39652777777778,30031.99375000012,164884.4900405416
J,216.83749999999998,8,30,5,0.9104166666666864,26.21163316841888,67571.98593750027,232456.47597804188
A,220.5280473494758,0,12,0,0.0,0.5555555555555558,0.0,232456.47597804188
B,220.5280473494758,0,12,-1,0.0,0.0,-6431.149180829093,226025.3267972128
C,220.5280473494758,0,12,-3,0.0,0.0,-25724.596723316372,200300.7300738964
D,220.5280473494758,6,7,3,1.5816631497753522,12.808448864061063,-6431.149180829093,193869.58089306732
E,220.5280473494758,6,7,3,1.5816631497753522,70.48723674284895,12862.298361658186,206731.8792547255
F,220.5280473494758,1,10,0,0.0,15.458333333333336,12862.298361658186,219594.17761638368
G,220.5280473494758,1,10,0,0.0,7.333333333333337,12862.298361658186,232456.47597804185
H,220.5280473494758,4,12,2,0.6150912249126367,23.115785669357066,25724.596723316372,258181.07270135824
I,220.5280473494758,4,12,2,0.6150912249126367,28.011619002690416,38586.89508497455,296767.96778633277
J,220.5280473494758,8,30,4,0.4920729799301094,26.703706148348992,64311.491808290935,361079.4595946237
A,225.4638348046509,0,12,1,0.0,0.5555555555555558,5743.004124549679,366822.4637191734
B,225.4638348046509,0,12,-1,0.0,0.0,0.0,366822.4637191734
C,225.4638348046509,0,12,-3,0.0,0.0,-17229.012373649035,349593.45134552434
D,225.4638348046509,6,7,3,2.11533748078933,14.923786344850393,0.0,349593.45134552434
E,225.4638348046509,6,7,3,2.11533748078933,72.60257422363829,17229.012373649035,366822.4637191734
F,225.4638348046509,1,10,0,0.0,15.458333333333336,17229.012373649035,384051.47609282244
G,225.4638348046509,1,10,0,0.0,7.333333333333337,17229.012373649035,401280.4884664715
H,225.4638348046509,4,12,2,0.8226312425291835,23.93841691188625,28715.020622748394,429995.5090892199
I,225.4638348046509,4,12,2,0.8226312425291835,28.8342502452196,40201.028871847746,470196.53796106763
J,225.4638348046509,8,30,4,0.6581049940233469,27.36181114237234,63173.04537004646,533369.5833311141
A,230.24829931972775,0,12,-1,0.0,0.5555555555555558,-4728.417110778115,528641.166220336
B,230.24829931972775,0,12,-1,0.0,0.0,-9456.83422155623,519184.3319987798
C,230.24829931972775,0,12,-3,0.0,0.0,-23642.085553890574,495542.2464448892
D,230.24829931972775,6,7,3,2.0504847921757925,16.974271137026186,-9456.83422155623,486085.412223333
E,230.24829931972775,6,7,3,2.0504847921757925,74.65305901581408,4728.417110778115,490813.8293341111
